step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
334,18.8357,-7.39108,0.0697676,0.0923688,0.484986,0.493279
335,19.0673,-7.40009,0.0696655,0.0923015,0.484321,0.493559
336,19.2881,-7.46611,0.0695759,0.0923907,0.483847,0.49446
337,19.641,-7.37009,0.069582,0.0922577,0.483136,0.49437
338,19.9079,-7.39246,0.0696231,0.0921434,0.482423,0.494663
339,20.2072,-7.34646,0.0698523,0.092008,0.481752,0.494718
340,20.4703,-7.38012,0.070116,0.0919012,0.481186,0.495533
341,20.68,-7.40803,0.0701668,0.0918908,0.480519,0.497112
342,20.9096,-7.40841,0.0701385,0.0919612,0.479894,0.498697
343,21.1874,-7.29257,0.0701768,0.0918407,0.479205,0.499277
344,21.4458,-7.28281,0.0702285,0.091759,0.478511,0.500308
345,21.6584,-7.37494,0.0701689,0.0922156,0.477849,0.503484
346,21.8727,-7.35781,0.0700687,0.0928883,0.477823,0.506346
347,22.2089,-7.13652,0.0701413,0.0928174,0.477241,0.506805
348,22.3962,-7.11391,0.0700583,0.0928547,0.477426,0.507557
349,22.5974,-6.98614,0.0699646,0.0927572,0.47756,0.507877
350,22.8454,-6.97043,0.0698701,0.0928084,0.477061,0.509236
351,23.069,-6.96894,0.0697987,0.0932359,0.476541,0.511804
352,23.2557,-6.94048,0.0698737,0.0940723,0.476381,0.515034
353,23.5065,-6.81,0.0699104,0.0946578,0.475959,0.517416
354,23.7556,-6.7762,0.069911,0.0957533,0.475325,0.520884
355,23.9871,-6.62124,0.0699209,0.0964779,0.474659,0.523298
356,24.1922,-6.55015,0.0700232,0.0975318,0.474136,0.525958
357,24.4694,-6.33572,0.0699783,0.0979348,0.473474,0.527101
358,24.7144,-6.24857,0.069901,0.0985817,0.472922,0.52887
359,24.9603,-6.09069,0.0698051,0.0990715,0.472525,0.530235
360,25.1585,-5.98625,0.069724,0.0997826,0.471884,0.531789
361,25.4143,-5.79252,0.0696311,0.100192,0.471383,0.532678
362,25.5839,-5.68563,0.0695505,0.100868,0.470735,0.533927
