step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
286,-6.87224,-3.02236,0.15031,0.114735,0.690434,0.513287
287,-6.99128,-3.26113,0.150169,0.114945,0.689632,0.513176
288,-7.1148,-3.40279,0.150071,0.114874,0.688919,0.512522
289,-7.23444,-3.62879,0.150043,0.114846,0.688331,0.511949
290,-7.41015,-3.70474,0.149928,0.11466,0.687539,0.511076
291,-7.53715,-3.91101,0.149873,0.114476,0.686864,0.510201
292,-7.75334,-4.19171,0.14967,0.114312,0.685871,0.509516
293,-7.89208,-4.40776,0.149492,0.11417,0.684964,0.508917
294,-8.11083,-4.69567,0.149243,0.114294,0.683873,0.508959
295,-8.26009,-4.92118,0.149001,0.114546,0.682841,0.509183
296,-8.37892,-5.12987,0.148811,0.114865,0.68201,0.509436
297,-8.52417,-5.35316,0.148658,0.115357,0.681292,0.509902
298,-8.77057,-5.55216,0.148411,0.1159,0.680256,0.510332
299,-8.92913,-5.77226,0.148171,0.116662,0.679291,0.511004
300,-9.06552,-5.91416,0.147968,0.117129,0.67851,0.511092
301,-9.22116,-6.12398,0.1478,0.117773,0.677845,0.511405
302,-9.34848,-6.1235,0.147757,0.117637,0.677501,0.510598
303,-9.5004,-6.30566,0.147813,0.117515,0.677321,0.509854
304,-9.64125,-6.5174,0.148048,0.117497,0.677414,0.509343
305,-9.79172,-6.70346,0.148464,0.117536,0.677701,0.508992
306,-10.0586,-6.86663,0.148529,0.11757,0.677221,0.508668
307,-10.2244,-7.04968,0.1487,0.117685,0.676883,0.508549
308,-10.5433,-7.25699,0.148514,0.118036,0.675897,0.508906
309,-10.7292,-7.44322,0.148349,0.118572,0.674977,0.509574
310,-11.0416,-7.60486,0.148119,0.119176,0.673892,0.510297
311,-11.2441,-7.78786,0.14789,0.120031,0.672815,0.511388
312,-11.3011,-7.84997,0.147812,0.120367,0.672271,0.511497
313,-11.4844,-8.01707,0.147806,0.120866,0.671848,0.511912
314,-11.6097,-8.03467,0.148147,0.12084,0.672021,0.51142
315,-11.7855,-8.18211,0.148684,0.120873,0.67236,0.51113
316,-12.0143,-8.23009,0.149144,0.12072,0.672379,0.510498
317,-12.1971,-8.36445,0.1498,0.120591,0.672545,0.51003
318,-12.3976,-8.40033,0.150572,0.120403,0.672699,0.509313
319,-12.5827,-8.52174,0.151588,0.120215,0.672996,0.508723
320,-12.9835,-8.6443,0.151653,0.120031,0.672075,0.508327
321,-13.197,-8.76586,0.151764,0.119861,0.671204,0.50818
322,-13.3995,-8.75897,0.151978,0.119734,0.670431,0.507542
323,-13.6116,-8.86364,0.152269,0.119586,0.669719,0.507077
324,-13.8946,-8.97834,0.152349,0.11941,0.668801,0.506921
325,-14.116,-9.08433,0.152472,0.119227,0.667921,0.507088
326,-14.3744,-9.18916,0.152511,0.119056,0.666977,0.507637
327,-14.6006,-9.29499,0.152584,0.118929,0.666063,0.508647
328,-14.9238,-9.25371,0.152431,0.118769,0.66505,0.508603
329,-15.1628,-9.34021,0.152279,0.118591,0.664042,0.508922
330,-15.5116,-9.48474,0.152053,0.11849,0.663196,0.510396
331,-15.765,-9.57886,0.151834,0.118508,0.662334,0.512476
332,-16.0464,-9.64215,0.151658,0.1186,0.661548,0.514732
333,-16.3035,-9.73222,0.151505,0.118924,0.660749,0.517684
334,-16.5038,-9.63596,0.151299,0.118812,0.659801,0.518572
335,-16.7535,-9.70152,0.151099,0.118797,0.658853,0.520006
336,-17.0485,-9.6283,0.150977,0.118627,0.658002,0.520369
337,-17.3041,-9.67562,0.15088,0.11849,0.657153,0.521197
338,-17.5535,-9.66189,0.150797,0.118331,0.656292,0.521851
339,-17.8083,-9.70117,0.15074,0.118225,0.655438,0.523023
340,-18.0257,-9.60959,0.150625,0.118053,0.654515,0.523288
341,-18.2756,-9.63166,0.150524,0.117886,0.653602,0.524003
342,-18.4228,-9.6357,0.150306,0.117737,0.652679,0.52503
343,-18.6591,-9.6554,0.150089,0.117656,0.651752,0.526632
344,-18.9198,-9.60929,0.149879,0.117544,0.650808,0.527967
345,-19.1594,-9.62034,0.149671,0.117539,0.649867,0.529915
346,-19.3574,-9.41177,0.149456,0.117402,0.648944,0.529946
347,-19.5916,-9.39394,0.149244,0.117238,0.648018,0.530374
348,-19.8452,-9.20629,0.14903,0.117362,0.647091,0.529922
349,-20.0819,-9.16613,0.148817,0.117414,0.646174,0.529733
350,-20.2535,-9.31999,0.148636,0.117335,0.645264,0.532168
351,-20.4816,-9.30535,0.148458,0.117417,0.644349,0.535313
352,-20.6891,-9.13593,0.148309,0.117283,0.643439,0.536807
353,-20.9145,-9.10093,0.148163,0.11724,0.64253,0.5389
354,-21.0903,-8.97725,0.148114,0.117129,0.641637,0.540383
355,-21.3091,-8.93059,0.148071,0.117128,0.640736,0.54245
356,-21.5177,-8.87898,0.148055,0.117296,0.639838,0.545076
357,-21.7352,-8.83166,0.148033,0.117745,0.638954,0.548378
358,-21.9637,-8.69635,0.147973,0.118078,0.638118,0.550925
359,-22.1826,-8.63747,0.147891,0.118737,0.637342,0.554119
360,-22.4767,-8.48557,0.147693,0.119229,0.636983,0.556484
361,-22.7055,-8.41445,0.147489,0.120077,0.63679,0.559457
362,-22.9557,-8.06675,0.147309,0.119992,0.636953,0.559599
363,-23.1873,-7.95926,0.147178,0.119984,0.637361,0.560081
364,-23.4432,-7.7339,0.147192,0.119835,0.638288,0.559943
365,-23.678,-7.61091,0.147362,0.11972,0.639549,0.560082
366,-23.7595,-7.43547,0.147251,0.119581,0.639666,0.560108
367,-23.9741,-7.30558,0.147218,0.119485,0.640056,0.560425
368,-24.0855,-7.21115,0.147067,0.119571,0.639925,0.561431
369,-24.2866,-7.08593,0.146968,0.119829,0.640047,0.562829
370,-24.3927,-6.74407,0.146789,0.119675,0.639776,0.562593
371,-24.5813,-6.59036,0.146643,0.119544,0.639747,0.562572
372,-24.5765,-6.4372,0.146512,0.119458,0.638992,0.562796
373,-24.7397,-6.28356,0.146362,0.119449,0.638358,0.563284
374,-25.0031,-6.04298,0.146188,0.11934,0.638512,0.563311
375,-25.1794,-5.87791,0.146059,0.119288,0.639,0.563559
376,-25.2891,-5.68434,0.1459,0.119249,0.639276,0.563801
377,-25.4567,-5.51552,0.1458,0.119302,0.639915,0.564269
378,-25.6024,-5.246,0.145747,0.119206,0.640751,0.564161
379,-25.7671,-5.06393,0.145824,0.119165,0.642035,0.564222
380,-25.8343,-4.88932,0.145782,0.119226,0.642767,0.564518
381,-25.9861,-4.70824,0.145868,0.119409,0.643945,0.565001
382,-26.0611,-4.41974,0.145883,0.119375,0.644795,0.564838
383,-26.2029,-4.22453,0.146051,0.11941,0.646113,0.564801
384,-26.252,-3.88418,0.146095,0.119257,0.646946,0.564176
385,-26.3816,-3.66988,0.1463,0.119111,0.648253,0.563603
386,-26.2993,-3.36969,0.146137,0.118978,0.648139,0.562889
387,-26.4011,-3.1441,0.146016,0.118841,0.648355,0.562195
388,-26.3673,-2.90216,0.145829,0.118714,0.64801,0.5615
389,-26.4512,-2.67442,0.145645,0.118582,0.647947,0.560825
390,-26.5924,-2.56699,0.145567,0.118509,0.648718,0.56065
391,-26.6838,-2.35507,0.145603,0.118489,0.649966,0.560532
392,-26.7315,-2.15559,0.14567,0.118577,0.651256,0.560549
393,-26.8172,-1.94531,0.145926,0.118765,0.653086,0.560614
394,-26.7232,-1.65136,0.145841,0.118778,0.653574,0.560232
395,-26.7853,-1.43007,0.145855,0.118846,0.654498,0.559873
396,-26.7453,-1.18157,0.145758,0.118891,0.654939,0.559412
397,-26.7939,-0.956706,0.145754,0.118987,0.655807,0.558961
398,-26.7984,-0.67559,0.145764,0.118972,0.65671,0.55834
399,-26.8412,-0.443328,0.145927,0.11898,0.658096,0.557721
400,-26.7073,-0.0992124,0.145801,0.118836,0.65831,0.557053
401,-26.7269,0.147759,0.145745,0.11869,0.658904,0.556391
402,-26.6944,0.469407,0.145677,0.118589,0.659457,0.555936
403,-26.7072,0.726198,0.145717,0.118516,0.660433,0.555504
404,-26.7238,1.01508,0.145935,0.118555,0.661925,0.555249
405,-26.737,1.27609,0.146395,0.118662,0.66394,0.555035
406,-26.6053,1.4897,0.146535,0.118697,0.664879,0.554637
407,-26.5995,1.74448,0.146865,0.118787,0.666272,0.554283
408,-26.4971,1.91429,0.147045,0.118717,0.667148,0.553683
409,-26.4786,2.1579,0.147421,0.118668,0.668456,0.553114
410,-26.3736,2.31217,0.147675,0.118527,0.669344,0.552442
411,-26.3437,2.54403,0.148141,0.118387,0.670653,0.551777
412,-26.2109,2.78872,0.148411,0.118258,0.671385,0.551145
413,-26.1674,3.02226,0.148884,0.118136,0.672507,0.550541
414,-26.0047,3.32352,0.149091,0.118145,0.672941,0.550212
415,-25.9455,3.56596,0.149469,0.118211,0.673717,0.549967
416,-25.7958,3.73696,0.149685,0.11816,0.674079,0.5495
417,-25.7248,3.97001,0.150068,0.118143,0.674761,0.549105
418,-25.6931,4.11922,0.150877,0.118023,0.676183,0.548519
